Ticker,Company,Stage,Reason,Score
TLGO.MC,Talgo,INDICADORES,INDICADOR_NONE,
TUB.MC,Tubacex,INDICADORES,INDICADOR_NONE,
DOM.MC,Global Dominion,INDICADORES,INDICADOR_NONE,
EDR.MC,eDreams ODIGEO,INDICADORES,INDICADOR_NONE,
VOC.MC,Vocento,INDICADORES,INDICADOR_NONE,
PVA.MC,Pescanova,INDICADORES,INDICADOR_NONE,
PRS.MC,Prisa,INDICADORES,INDICADOR_NONE,
SLR.MC,Solaria,INDICADORES,INDICADOR_NONE,
CIE.MC,CIE Automotive,INDICADORES,INDICADOR_NONE,
GRE.MC,Grenergy Renovables,INDICADORES,INDICADOR_NONE,
MTS.MC,ArcelorMittal,INDICADORES,INDICADOR_NONE,
CAF.MC,Construcciones y Aux. de Ferrocarriles,INDICADORES,INDICADOR_NONE,
ALM.MC,Almirall,INDICADORES,INDICADOR_NONE,
PHM.MC,PharmaMar,INDICADORES,INDICADOR_NONE,
ANA.MC,Acciona,INDICADORES,INDICADOR_NONE,
ANE.MC,Acciona Energía,INDICADORES,INDICADOR_NONE,
A3M.MC,Atresmedia,INDICADORES,INDICADOR_NONE,
CASH.MC,Prosegur Cash,INDICADORES,INDICADOR_NONE,
CLR.MC,Celeo Redes,INDICADORES,INDICADOR_NONE,
EBRO.MC,Ebro Foods,INDICADORES,INDICADOR_NONE,
ENG.MC,Enagás,INDICADORES,INDICADOR_NONE,
FDR.MC,Fluidra,INDICADORES,INDICADOR_NONE,
GEST.MC,Gestamp,INDICADORES,INDICADOR_NONE,
IDR.MC,Indra Sistemas,INDICADORES,INDICADOR_NONE,
MAP.MC,Mapfre,INDICADORES,INDICADOR_NONE,
MEL.MC,Meliá Hotels,INDICADORES,INDICADOR_NONE,
MRL.MC,Merlin Properties,INDICADORES,INDICADOR_NONE,
NTGY.MC,Naturgy,INDICADORES,INDICADOR_NONE,
RED.MC,Redeia,INDICADORES,INDICADOR_NONE,
REN.MC,Renta 4 Banco,INDICADORES,INDICADOR_NONE,
SAB.MC,Banco Sabadell,INDICADORES,INDICADOR_NONE,
SAN.MC,Banco Santander,INDICADORES,INDICADOR_NONE,
SCYR.MC,Sacyr,INDICADORES,INDICADOR_NONE,
TRE.MC,Técnicas Reunidas,INDICADORES,INDICADOR_NONE,
UNI.MC,Unicaja Banco,INDICADORES,INDICADOR_NONE,
VID.MC,Vidrala,INDICADORES,INDICADOR_NONE,
